"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"East Asia & Pacific (excluding high income)","EAP","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","-11.1717289823522","-1.41457844098892","3.16413210816404","7.26445536383493","7.21692505865907","4.66534326185126","-3.47049928518209","0.0254878679131849","7.76717135309309","9.69210989749776","3.69850431222419","2.51380196793949","5.79998422242367","2.04923871211042","4.42842774679431","1.62423373056617","6.06288461820319","7.42344928263235","5.48269187712913","6.02360059935674","4.20981871996923","4.2724019947709","5.58936646700556","7.76221701647108","5.51937453410578","5.14407450522447","6.91656734886456","7.64822840416977","4.18116649317419","3.75326974734608","6.33053526910329","9.23700480836385","9.43121105707014","9.35087932075194","8.37713067644985","7.62380618812229","5.77826446777709","0.607623574413509","4.98909229691782","6.44591768486235","5.71127178056781","6.90331610447446","7.80422036889459","8.03147369662847","8.8307298376324","9.92109444683527","11.4789213859001","7.6233134449724","6.91421859394039","9.00766026428006","7.71739361739232","6.75117261640685","6.4406216219983","5.9928813052361","5.73007651314552",""
"East Asia & Pacific (excluding high income)","EAP","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2221.85946477083","2357.59698956326","2564.15361447912","2794.4219545253","3046.5200158765","3296.70786649392","3542.94734587512","3736.60155533582","3726.65349155529","3902.98980996389","4148.58413960944","4376.48676154643","4670.06192900448","5025.02121218453","5419.05546676684","5882.74318087114","6446.60317351005","7162.34693284543","7692.7023911637","8202.83224409454","8927.18393195306","9596.87278943295","10238.1062480201","10887.0868764761","11527.9163329278","12179.352536058",""
"East Asia & Pacific (IDA & IBRD countries)","TEA","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","-11.1465428664663","-1.40851393466708","3.1522511855856","7.25586568565875","7.21263324524986","4.66197859586845","-3.46858451926025","0.0289736961855027","7.76984531972388","9.69351580411863","3.69899803236294","2.51621404372793","5.80217338877371","2.05027059269783","4.4285310465209","1.62224174974219","6.05892984215728","7.41757106918919","5.4770531537096","6.02031490813056","4.20842596976377","4.27073414733077","5.58889420836537","7.76301009586204","5.51893655173265","5.14145483566205","6.91218403115235","7.64372915541898","4.17812341135917","3.7519789036543","6.33128385818209","9.2398748014548","9.43472049384067","9.35336279259238","8.37809486111145","7.62296782443156","5.77586075543432","0.60472247947969","4.98650714762337","6.44422251328743","5.71046234135633","6.90314581644328","7.80558957155206","8.03250148327169","8.83114539941641","9.92143285473135","11.4781290381979","7.62226884413512","6.9129234465299","9.00608356423088","7.71570516970486","6.74957404148888","6.43891416539704","5.99073382751413","5.72760049587076",""
"East Asia & Pacific (IDA & IBRD countries)","TEA","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2245.93936565079","2383.16475420605","2592.02955171272","2824.89182158122","3079.80865824878","3332.75990538132","3581.66430254165","3777.34890619474","3767.18372689817","3945.34069035504","4193.53315111793","4423.8711744756","4720.61737350787","5079.42304002713","5477.71109347548","5946.3634563195","6516.22946717153","7239.57867567338","7775.4948482115","8290.93190544296","9022.87065479741","9699.53134021069","10347.3909230386","11003.0508098554","11650.4278026121","12308.468374298",""
"Euro area","EMU","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","5.71169561019411","5.40557643509329","4.77844403905007","4.52784571525449","4.02916472090938","4.40393920282656","4.52799530584626","4.85363556521267","6.24709920168927","5.01762775374426","3.22614812658971","4.19902698520254","5.47404554625395","2.61214767318414","-1.27925058309893","4.55160305371614","2.67642095841066","2.72872717257432","3.43613395711554","1.731457986208","0.140562749062312","0.451007342108298","1.18346790990252","2.19647643184962","2.11211860271972","2.24972329355452","2.25622283029871","3.95520793641391","3.64930676039552","3.09239236560464","2.27200217187406","0.943596096093515","-1.06550308516226","2.17356141948011","2.20896089816489","1.47312361685404","2.47574454859038","2.74766179558421","2.7287657567378","3.5239544319634","1.7809898550627","0.518804556712155","0.17879645117911","1.7669170420281","1.17249233831711","2.75869232652977","2.49209654671962","-0.0536844203228242","-4.83013722106705","1.85386127240596","1.76603493394332","-1.13051078911207","-0.589747173224524","0.82133609149102","1.73712183259806",""
"Euro area","EMU","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28122.0872506553","28771.7098391026","29041.2429815082","28726.8675493665","29349.5830771154","30004.3827021936","30455.3275324374","31219.6490480602","32079.7695231957","32944.3982312928","34106.4944902322","34727.2587357357","34923.92013256","35010.3665419153","35637.2506723368","36073.1369954562","37087.4410147723","38032.8496841641","38015.438667589","36153.8125597674","36808.5471055231","37436.3696722902","36995.6383170509","36767.7802430568","37074.8422525888","37722.0394318978",""
"Europe & Central Asia","ECS","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","2.9300899316824","3.90699581699738","5.15197917472324","1.54621550472352","-1.21549406031886","4.0184359338256","2.17313756916278","2.52011157480598","3.05157561649764","0.757776807486692","-0.156827381641961","0.347789953310041","1.33430143799347","2.05369468892356","2.1467357058351","2.13736874764656","2.40827685687289","3.55017043002125","2.92480317407993","1.787083428389","0.0427168639480158","-1.01749722199078","-1.20833439052491","0.855961319875334","1.96330001875147","1.63045639357119","2.69137840948947","2.34848834271813","2.79001407481474","4.20601506735991","2.0992582991006","1.53205424551936","1.60793035189081","2.9497918155358","2.39816667592495","3.6127379687352","3.32600875237303","0.58106489256302","-4.8935101561196","2.22642873942942","1.9471287619276","-0.289034788426008","0.143674172984404","1.13120349497753","1.31233760299176",""
"Europe & Central Asia","ECS","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20520.5925261525","20297.7998609228","19737.8931218985","19329.2355230768","19169.971155798","19450.5370153746","19716.7690384411","20237.4546072723","20612.4138674221","21184.7104620922","22165.2658649921","22679.2247144466","23131.4899473382","23660.156722352","24510.935201371","25239.1586407851","26315.0510314616","27368.2258289093","27692.9535404576","26282.8077917401","26951.5829434455","27590.9920407774","27614.8138662846","27727.5154853947","28039.599383081","28315.6607185487",""
"Europe & Central Asia (excluding high income)","ECA","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.12188347452145","-5.75343155287753","-10.9026340237778","-5.88809960393294","-10.6515378028991","-1.41680649746785","-0.110780608128763","2.53164882209933","-1.84980307614583","2.18624384558352","8.02930897014234","2.8499385477613","5.48919735651083","6.71666439021801","8.09810421649885","6.85294144176429","7.94027829011019","7.46558662933514","4.10519621441317","-6.54071929897374","4.82029959582553","4.75944147161749","2.25178325006534","1.95894977568103","0.965534169580692","-0.788990212308534",""
"Europe & Central Asia (excluding high income)","ECA","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13582.3481162916","12769.24043811","11303.8817187879","10552.6266070982","9376.15043359021","9179.08928637804","9121.52615924025","9323.78088692475","9136.85896040383","9367.74503625407","10122.3958762188","10474.1259309715","11044.6743924599","11798.5328503189","12753.0617368759","13616.6416265463","14714.2811002643","15847.4295774398","16537.3785848647","15460.5350445231","16176.5364661223","16916.0296050694","17302.9430844631","17631.886151083","17783.7218296556","17597.1609848024",""
